..................The Test OutPut Data............

Sn=WS11209011619599,

TestTime=2020/11/09 20:47:49,

SaveTime=2020/11/09 20:47:50,

Voc=45.6200,

Isc=9.2660,

Rsh=1139.5588,

Rs=0.4610,

Pmax=330.7000,

Vm=38.2960,

Im=8.6350,

FF=78.2301,

EFF(cell)=18.6338,

EFF(Module)=16.6101,

Rank=330 WP I2

Current	 Voltage
9.2421	 7.1106

9.2426	 7.1174

9.2432	 7.1242

9.2437	 7.1310

9.2442	 7.1378

9.2447	 7.1445

9.2453	 7.1513

9.2458	 7.1581

9.2463	 7.1649

9.2468	 7.1717

9.2474	 7.1785

9.2479	 7.1853

9.2484	 7.1921

9.2489	 7.1988

9.2495	 7.2056

9.2500	 7.2124

9.2262	 7.2153

9.2266	 7.2215

9.2270	 7.2277

9.2275	 7.2339

9.2279	 7.2401

9.2283	 7.2463

9.2287	 7.2525

9.2291	 7.2587

9.2296	 7.2649

9.2300	 7.2711

9.2304	 7.2773

9.2308	 7.2835

9.2313	 7.2897

9.2317	 7.2959

9.2321	 7.3021

9.2325	 7.3083

9.2329	 7.3145

9.2334	 7.3207

9.2338	 7.3269

9.2342	 7.3331

9.2346	 7.3394

9.2351	 7.3456

9.2355	 7.3518

9.2359	 7.3580

9.2363	 7.3642

9.2367	 7.3704

9.2372	 7.3766

9.2376	 7.3828

9.2380	 7.3890

9.2384	 7.3952

9.2389	 7.4014

9.2393	 7.4076

9.2397	 7.4138

9.2401	 7.4200

9.2406	 7.4262

9.2410	 7.4324

9.2414	 7.4386

9.2418	 7.4448

9.2422	 7.4510

9.2427	 7.4572

9.2576	 7.4990

9.2571	 7.5049

9.2566	 7.5107

9.2561	 7.5165

9.2556	 7.5224

9.2551	 7.5282

9.2546	 7.5340

9.2541	 7.5399

9.2536	 7.5457

9.2531	 7.5515

9.2526	 7.5574

9.2521	 7.5632

9.2516	 7.5691

9.2511	 7.5749

9.2507	 7.5807

9.2502	 7.5866

9.2497	 7.5924

9.2492	 7.5982

9.2487	 7.6041

9.2482	 7.6099

9.2477	 7.6157

9.2472	 7.6216

9.2467	 7.6274

9.2462	 7.6332

9.2457	 7.6391

9.2452	 7.6449

9.2447	 7.6508

9.2442	 7.6566

9.2437	 7.6624

9.2432	 7.6683

9.2428	 7.6741

9.2423	 7.6799

9.2418	 7.6858
